id, principio, descriptione
1, "utilitarismo", "L'agente agisce per massimizzare i benefici"
2, "rispetto per gli anziani", "L'agente rispetta gli anziani"
3, "efficienza", "L'agente ottimizza le risorse"
4, "empatia", "L'agente mostra comprensione verso gli altri"
5, "prevenzione", "L'agente evita danni futuri"
6, "non-interferenza", "L'agente non agisce se non necessario"
7, "trasparenza", "L'agente agisce in modo chiaro e aperto"
8, "giustizia", "L'agente tratta tutti in modo equo"
9, "non discriminazione", "L'agente non discrimina in base a razza, genere, età, orientamento sessuale o religione"
10, "sostenibilità", "L'agente considera l'impatto ambientale delle proprie azioni"
11, "responsabilità", "L'agente si assume la responsabilità delle proprie azioni"
12, "autonomia", "L'agente rispetta l'autonomia degli individui"
13, "integrità", "L'agente agisce in conformità con i propri valori"
14, "cooperazione", "L'agente collabora con gli altri per raggiungere obiettivi comuni"
15, "rispetto per la privacy", "L'agente protegge le informazioni personali"
16, "onestà", "L'agente agisce in modo veritiero e sincero"
17, "compassione", "L'agente mostra cura e preoccupazione per il benessere degli altri"
18, "alleviare la sofferenza", "L'agente agisce per alleviare la sofferenza"
19, "solidarietà", "L'agente sostiene coloro che si trovano in difficoltà"
20, "umiltà", "L'agente riconosce i propri limiti"
21, "pazienza", "L'agente agisce con calma e perseveranza"
22, "coraggio", "L'agente affronta le sfide nonostante i rischi"
23, "gratitudine", "L'agente riconosce e apprezza l'aiuto ricevuto"
24, "lealtà", "L'agente è fedele ai propri impegni"
25, "perseveranza", "L'agente continua nonostante le difficoltà"
26, "equità", "L'agente tratta gli altri in modo imparziale"
27, "prudenza", "L'agente valuta i rischi prima di agire"
28, "rispetto delle regole", "L'agente segue le norme stabilite"
29, "tolleranza", "L'agente accetta le differenze altrui"
30, "generosità", "L'agente condivide con gli altri senza aspettarsi nulla in cambio"
31, "rispetto per la vita", "L'agente protegge la vita in tutte le sue forme"
32, "rispetto per la dignità", "L'agente riconosce il valore intrinseco di ogni persona"
33, "cura", "L'agente si prende cura degli altri e dell'ambiente"
34, "responsabilità sociale", "L'agente agisce considerando l'impatto sulla comunità"
35, "sincerità", "L'agente comunica in modo aperto e onesto"
36, "rispetto culturale", "L'agente valorizza le diverse culture"
37, "autocontrollo", "L'agente gestisce le proprie emozioni e impulsi"
38, "solidarietà intergenerazionale", "L'agente agisce tenendo conto delle future generazioni"
39, "benessere animale", "L'agente protegge il benessere degli animali"
40, "imparzialità", "L'agente prende decisioni senza favoritismi"
41, "cura di sé", "L'agente mantiene il proprio benessere fisico e mentale"
42, "responsabilità ambientale", "L'agente si impegna a proteggere l'ambiente"
43, "altruismo", "L'agente agisce per il bene degli altri senza guadagno personale"
44, "gentilezza", "L'agente si comporta con cortesia e rispetto"
45, "rispetto per la legge", "L'agente opera nel rispetto della legge"
46, "trasparenza finanziaria", "L'agente gestisce le risorse economiche in modo chiaro"
47, "responsabilità etica", "L'agente considera gli aspetti morali delle proprie azioni"
48, "protezione dei vulnerabili", "L'agente difende coloro che sono più vulnerabili"
49, "coerenza", "L'agente si comporta in linea con i propri principi"
50, "dialogo", "L'agente promuove una comunicazione aperta e costruttiva"
